File,Section,Year,Ref,Comment
./Data/corrected_sections/A01\1991_06MT18_1_ctd.nc,A01,1991,ITS-90, 0 
./Data/corrected_sections/A01\1994_06MT30_3_ctd.nc,A01,1994,0, 0 
./Data/corrected_sections/A01\1995_18HU95011_1_ctd.nc,A01,1995,ITS-90, 0 
./Data/corrected_sections/A01\2000_64PE20000926_ctd.nc,A01,2000,ITS-90,"Shared with AR07, but section_id = [A1E/AR7E], labeled as A01" 
./Data/corrected_sections/A01\2000_64PE20000926_ctd.nc,A01,2000,ITS-90, 0 
./Data/corrected_sections/A01\2014_35PK20140515_ctd.nc,A01,2014,ITS-90,"Shared with A25 AND OVIDE, but it has no section_id, labeled as A01" 
./Data/corrected_sections/A01\2014_35PK20140515_ctd.nc,A01,2014,ITS-90, 0 
./Data/corrected_sections/A01\2015_5_58GS20150410_ctd.nc,A01,2015,ITS-90,"Unique but section_id was wrong" 
./Data/corrected_sections/A01\2015_5_58GS20150410_ctd.nc,A01,2015,ITS-90, 0 
./Data/corrected_sections/A02\1994_06MT030_2_ctd.nc,A02,1994,ITS-90, 0 
./Data/corrected_sections/A02\1997_06MT039_3_ctd.nc,A02,1997,ITS-90, 0 
./Data/corrected_sections/A02\2011_06MT20110624_ctd.nc,A02,2011,ITS-90, 0 
./Data/corrected_sections/A02\2013_9_06M220130509_ctd.nc,A02,2013,ITS-90, 0 
./Data/corrected_sections/A02\2017_45CE20170427_ctd.nc,A02,2017,ITS-90, 0 
./Data/corrected_sections/A05\1981_1981_US008812.nc,A05,1981,ITS-90, 0 
./Data/corrected_sections/A05\1992_29HE06_1_ctd.nc,A05,1992,ITS-90, 0 
./Data/corrected_sections/A05\1998_31RBOACES24N_2_ctd.nc,A05,1998,ITS-90,"Shared with AR01, but section_id = [AR01], labeled as A05" 
./Data/corrected_sections/A05\1998_31RBOACES24N_2_ctd.nc,A05,1998,ITS-90, 0 
./Data/corrected_sections/A05\2004_74DI20040404_ctd.nc,A05,2004,ITS-90, 0 
./Data/corrected_sections/A05\2010_74DI20100106_ctd.nc,A05,2010,ITS-90, 0 
./Data/corrected_sections/A05\2011_29AH20110128_ctd.nc,A05,2011,ITS-90,"Unique but section_id was wrong" 
./Data/corrected_sections/A05\2011_29AH20110128_ctd.nc,A05,2011,ITS-90, 0 
./Data/corrected_sections/A05\2015_2016_74EQ20151206_ctd.nc,A05,2015,ITS-90, 0 
./Data/corrected_sections/A05\2015_2016_74EQ20151206_ctd.nc,A05,2016,ITS-90, 0 
./Data/corrected_sections/A05\2020_740H20200119_ctd.nc,A05,2020,ITS-90, 0 
./Data/corrected_sections/A05\2022_6_74EQ20220209_ctd.nc,A05,2022,ITS-90,"Unique but section_id was wrong" 
./Data/corrected_sections/A05\2022_6_74EQ20220209_ctd.nc,A05,2022,ITS-90, 0 
./Data/corrected_sections/A10\1992_1993_06MT22_5_ctd.nc,A10,1992,0, 0 
./Data/corrected_sections/A10\1992_1993_06MT22_5_ctd.nc,A10,1993,0, 0 
./Data/corrected_sections/A10\2003_49NZ200311_4_ctd.nc,A10,2003,ITS-90, 0 
./Data/corrected_sections/A10\2009_740H20090307_ctd.nc,A10,2009,ITS-90,"Shared with A09 AND A09.5, but section_id = [A095], labeled as A10" 
./Data/corrected_sections/A10\2009_740H20090307_ctd.nc,A10,2009,ITS-90, 0 
./Data/corrected_sections/A10\2011_33RO20110926_ctd.nc,A10,2011,ITS-90, 0 
./Data/corrected_sections/A10\2018_740H20180228_ctd.nc,A10,2018,ITS-90,"Shared with A09 AND A09.5, but section_id = [A09.5-245], labeled as A10" 
./Data/corrected_sections/A10\2018_740H20180228_ctd.nc,A10,2018,ITS-90, 0 
./Data/corrected_sections/A12\1986_None_ctd.nc,A12,1986,ITS-90,"Unique but section_id was wrong" 
./Data/corrected_sections/A12\1986_None_ctd.nc,A12,1986,ITS-90, 0 
./Data/corrected_sections/A12\1992_06AQANTX_4_ctd.nc,A12,1992,ITS-90, 0 
./Data/corrected_sections/A12\1994_06AQ19941123_ctd.nc,A12,1994,ITS-90,"Shared with A23, but section_id was wrong, labeled as A12" 
./Data/corrected_sections/A12\1994_06AQ19941123_ctd.nc,A12,1994,ITS-90, 0 
./Data/corrected_sections/A12\1999_06ANTXVI_2_ctd.nc,A12,1999,ITS-90, 0 
./Data/corrected_sections/A12\2000_2001_06ANTXVIII_3_ctd.nc,A12,2000,ITS-90, 0 
./Data/corrected_sections/A12\2000_2001_06ANTXVIII_3_ctd.nc,A12,2001,ITS-90, 0 
./Data/corrected_sections/A12\2002_2003_06AQ200211_2_ctd.nc,A12,2002,ITS-90, 0 
./Data/corrected_sections/A12\2002_2003_06AQ200211_2_ctd.nc,A12,2003,ITS-90, 0 
./Data/corrected_sections/A12\2005_06AQ20050122_ctd.nc,A12,2005,0, 0 
./Data/corrected_sections/A12\2006_06AQ20060825_ctd.nc,A12,2006,ITS-90,"Shared with A21, but section_id was wrong, labeled as A12" 
./Data/corrected_sections/A12\2006_06AQ20060825_ctd.nc,A12,2006,ITS-90, 0 
./Data/corrected_sections/A12\2007_2008_06AQ20071128_ctd.nc,A12,2007,ITS-90, 0 
./Data/corrected_sections/A12\2007_2008_06AQ20071128_ctd.nc,A12,2008,ITS-90, 0 
./Data/corrected_sections/A12\2008_06AQ20080210_ctd.nc,A12,2008,ITS-90,"Does not contain the section_id variable" 
./Data/corrected_sections/A12\2008_06AQ20080210_ctd.nc,A12,2008,ITS-90, 0 
./Data/corrected_sections/A12\2008_35MF20080207_ctd.nc,A12,2008,0,"Does not contain the section_id variable" 
./Data/corrected_sections/A12\2008_35MF20080207_ctd.nc,A12,2008,0, 0 
./Data/corrected_sections/A12\2014_2015_06AQ20141202_ctd.nc,A12,2014,ITS-90, 0 
./Data/corrected_sections/A12\2014_2015_06AQ20141202_ctd.nc,A12,2015,ITS-90, 0 
./Data/corrected_sections/A13.5\1983_316N19831007_ctd.nc,A13.5,1983,IPTS-68,"A13.5, but section_id = [AJAX], qc = 1 = uncalibrated" 
./Data/corrected_sections/A13.5\1983_316N19831007_ctd.nc,A13.5,1983,IPTS-68, 0 
./Data/corrected_sections/A13.5\1984_316N19840111_ctd.nc,A13.5,1984,IPTS-68,"A13.5, but section_id = [AJAX], qc = 1 = uncalibrated" 
./Data/corrected_sections/A13.5\1984_316N19840111_ctd.nc,A13.5,1984,IPTS-68, 0 
./Data/corrected_sections/A13.5\1995_35A3CITHER3_2_ctd.nc,A13.5,1995,ITS-90,"A13.5, but section_id = [AJAX]" 
./Data/corrected_sections/A13.5\1995_35A3CITHER3_2_ctd.nc,A13.5,1995,ITS-90, 0 
./Data/corrected_sections/A13.5\2010_33RO20100308_ctd.nc,A13.5,2010,ITS-90, 0 
./Data/corrected_sections/A16\1988_32OC202_1_ctd.nc,A16,1988,IPTS-68, 0 
./Data/corrected_sections/A16\1989_318MHYDROS4_ctd.nc,A16,1989,ITS-90, 0 
./Data/corrected_sections/A16\1989_318MSAVE5_ctd.nc,A16,1989,ITS-90, 0 
