Campaign : File_Name : start_Date : End_Date: Share_With
A01 : 58GS20150410 : 2015-04-10 : 2015-04-26 : -
A02 : 06MT20110624 : 2011-06-24 : 2011-08-02 : AR07W
A02 : 06M220130509 : 2013-05-09 : 2013-06-20 : AR07W
A05 : 74EQ20220209 : 2022-02-09 : 2022-03-08 : -
A12 : 06AQ19941123 : 1994-11-23 : 1995-01-03 : ANT_XII_2/A23 
A12 : 06AQ200012_3 : 2000-12-11 : 2001-01-11 : -
A12 : 06AQ20050122 : 2005-01-02 : 2005-04-06 : -
A12 : 06AQ20060825 : 2006-08-25 : 2006-10-29 : A21/WWOS
A12 : 06AQ20071128 : 2007-11-28 : 2008-02-04 : -
A12 : 35MF20080207 : 2008-02-08 : 2008-03-24 : -
A12 : 06AQ20082010 : 2008-02-10 : 2008-04-16 : -
A12 : 06AQ20141202 : 2014-12-02 : 2015-02-01 : -
A13.5 : 35A3CITHER3_2 : 1995-02-21 : 1995-04-02 : A13/AJAX
A13.5 : 33H320240201 : 2024-02-01 : 2024-03-23 :-
A16 : 74DI20110715 : 2011-07-15 : 2011-08-04 : -
A16 : 33RO20230306 : 2023-03-06 : 2023-04-07 : -
A16 : 33RO20230413 : 2023-04-13 : 2023-05-09 : -
I05 : 316N145_7 : 1995-03-10 : 1995-04-15 : I08N/I05E
I06 : 35MFCIVA_1 : 1993-01-23 : 1993-03-09 : -
I08 : 316N145_7 : 1995-03-10 : 1995-04-15 : I08N/I05E
I09S : 09AR20041223 : 2004-12-23 : 2005-02-17 : -
I09S : 096U20240101 : 2024-01-01 : 2024-03-05 : SR3
P01 : 49NZ20070724 : 2007-07-24 : 2007-09-03 : -
P03 : 31TTTPS24_1 : 1985-03-30 : 1985-04-30 : -
P10 : 49NZ20140717 : 2014-07-17 : 2014-08-29 : MIRAI/P01
P14 : 31DSCG96_1 : 1996-01-05 : 1996-03-10 : P15S
P14 : 49NZ20071008 : 2007-10-08 : 2007-11-20 : P01 
P16 : 31WTTUNES_2 : 1991-07-16 : 1991-08-25 : P17S
P16 : 316N138_9 : 1992-10-06 : 1992-11-25 : P17A
P16 : 325020080826 : 2008-08-26 : 2008-09-17 : -
P18 : 31DSCG94_1 : 1994-01-26 : 1994-04-27 : -
S04 : 09AR9404_1 : 1994-12-13 : 1995-02-02 : SR03
S04 : 320696_3 : 1996-05-03 : 1996-07-04 : -
S04 : 09AR20060102 : 2006-01-02 : 2006-03-12 : -
S04 : 490S20181205 : 2018-12-05 : 2019-01-16 : -
S04 : 490S20190121  : 2019-01-21 : 2019-05-03 : -
SR03 : 320620170410 : 2017-0410 : 2017-06-12 : -






 



