Basin,Years,Resolution,Robust_tendency,Surface,Heat_flux,Heat_flux_error,Tendency_type
Global,1990-2010,1,False,189289374320989.25,0.060,0.006,
EastMadagascar,1990-2010,1,False,2893837429744.87,-0.26,0.35,
NACaribe,1990-2010,1,False,405569860252.07,0.13,0.02,
NAEast,1990-2010,1,False,8300715652704.08,-0.04,0.16,
NAWest,1990-2010,1,False,10247458840669.63,0.02,0.43,
NICentral,1990-2010,1,False,1558679898484.24,nan,nan,
NICentralEast,1990-2010,1,False,5673617226870.72,-0.03,0.06,
NIEast,1990-2010,1,False,7201100230245.50,0.11,0.21,
NIWest,1990-2010,1,False,3014904806292.80,nan,nan,
NPCentral,1990-2010,1,False,60051266540061.15,0.03,0.08,
NPEast,1990-2010,1,False,313858725358.30,nan,nan,
NPEastEast,1990-2010,1,False,12347210134.98,nan,nan,
NPWest,1990-2010,1,False,4583556416645.66,0.08,0.02,
SACentralAntartica,1990-2010,1,False,8678271461102.21,0.22,0.55,
SAEast,1990-2010,1,False,7851573932412.47,-0.27,0.35,
SAEastNamibia,1990-2010,1,False,2908362322410.72,-0.06,0.57,
SAWest,1990-2010,1,False,6830544365817.04,0.20,0.29,
SAWestMalvinas,1990-2010,1,False,5859443181005.18,0.13,0.39,
SIEastAntartica,1990-2010,1,False,3278241877916.21,0.46,0.33,
SPCentral,1990-2010,1,False,19671407998566.68,0.10,0.17,
SPEastAntartica,1990-2010,1,False,8526382505718.53,0.17,0.25,
SPEastAustralia,1990-2010,1,False,2718817456836.42,0.06,0.02,
SPEastChile,1990-2010,1,False,2050800795795.12,0.05,0.09,
SPEastNorth,1990-2010,1,False,3860037458068.89,0.02,0.02,
SPWest,1990-2010,1,False,984672037968.13,nan,nan,
SPWestCentral,1990-2010,1,False,545326639539.31,-0.00,0.01,
SouthAfrica,1990-2010,1,False,3638297354850.08,0.19,0.72,
SouthAustralia,1990-2010,1,False,4848468970015.19,0.24,0.30,
SouthMadagascar,1990-2010,1,False,2781813125503.05,0.19,0.50,
North Hemisphere,1990-2010,1,False,96463284767448.81,0.03,0.01,
South Hemisphere,1990-2010,1,False,86941626875301.97,0.10,0.01,
----------------,---------,----------,,,---------,,-------------
Global,1990-2010,1,True,189289374320989.25,0.055,0.004,
EastMadagascar,1990-2010,1,True,2893837429744.87,0.06,0.05,
NACaribe,1990-2010,1,True,405569860252.07,nan,nan,
NAEast,1990-2010,1,True,8300715652704.08,-0.05,0.07,
NAWest,1990-2010,1,True,10247458840669.63,-0.04,0.24,
NICentral,1990-2010,1,True,1558679898484.24,nan,nan,
NICentralEast,1990-2010,1,True,5673617226870.72,nan,nan,
NIEast,1990-2010,1,True,7201100230245.50,0.07,0.20,
NIWest,1990-2010,1,True,3014904806292.80,nan,nan,
NPCentral,1990-2010,1,True,60051266540061.15,0.03,0.08,
NPEast,1990-2010,1,True,313858725358.30,nan,nan,
NPEastEast,1990-2010,1,True,12347210134.98,nan,nan,
NPWest,1990-2010,1,True,4583556416645.66,nan,nan,
SACentralAntartica,1990-2010,1,True,8678271461102.21,0.23,0.42,
SAEast,1990-2010,1,True,7851573932412.47,nan,nan,
SAEastNamibia,1990-2010,1,True,2908362322410.72,-0.10,0.55,
SAWest,1990-2010,1,True,6830544365817.04,0.27,0.16,
SAWestMalvinas,1990-2010,1,True,5859443181005.18,nan,nan,
SIEastAntartica,1990-2010,1,True,3278241877916.21,0.23,0.17,
SPCentral,1990-2010,1,True,19671407998566.68,0.10,0.15,
SPEastAntartica,1990-2010,1,True,8526382505718.53,0.17,0.04,
SPEastAustralia,1990-2010,1,True,2718817456836.42,0.06,0.03,
SPEastChile,1990-2010,1,True,2050800795795.12,0.13,0.01,
SPEastNorth,1990-2010,1,True,3860037458068.89,nan,nan,
SPWest,1990-2010,1,True,984672037968.13,nan,nan,
SPWestCentral,1990-2010,1,True,545326639539.31,-0.00,0.01,
SouthAfrica,1990-2010,1,True,3638297354850.08,-0.14,0.53,
SouthAustralia,1990-2010,1,True,4848468970015.19,0.25,0.18,
SouthMadagascar,1990-2010,1,True,2781813125503.05,nan,nan,
North Hemisphere,1990-2010,1,True,85800541263680.36,0.02,0.01,
South Hemisphere,1990-2010,1,True,66588759178312.39,0.14,0.01,
----------------,---------,----------,,,---------,,-------------
Global,1990-2010,0.25,False,178284109205052.72,0.053,0.005,
EastMadagascar,1990-2010,0.25,False,2601041872518.30,-0.12,0.30,
NACaribe,1990-2010,0.25,False,410157436743.48,0.06,0.00,
NAEast,1990-2010,0.25,False,8309510848405.90,-0.06,0.09,
NAWest,1990-2010,0.25,False,10261015224865.01,-0.03,0.28,
NICentral,1990-2010,0.25,False,1204432116828.29,nan,nan,
NICentralEast,1990-2010,0.25,False,5458013861717.94,nan,nan,
NIEast,1990-2010,0.25,False,6810336959648.10,0.09,0.20,
NIWest,1990-2010,0.25,False,2572313824255.01,nan,nan,
NPCentral,1990-2010,0.25,False,58718877543399.01,0.03,0.10,
NPEast,1990-2010,0.25,False,192131454010.12,nan,nan,
NPEastEast,1990-2010,0.25,False,8469777418.33,nan,nan,
NPWest,1990-2010,0.25,False,3533485967245.61,0.03,0.00,
SACentralAntartica,1990-2010,0.25,False,7776083845891.23,0.16,0.43,
SAEast,1990-2010,0.25,False,7014059644144.84,nan,nan,
SAEastNamibia,1990-2010,0.25,False,2805394405332.37,0.06,0.03,
SAWest,1990-2010,0.25,False,6860160950432.20,0.35,0.30,
